task,base,finetuned,delta
26,0.0,82.38595184763629,82.38595184763629
22,0.0,73.59920008859152,73.59920008859152
3,0.0,62.99929280658432,62.99929280658432
23,0.0,59.35102545172296,59.35102545172296
6,0.0,56.54523078589371,56.54523078589371
31,0.0,54.75152329390789,54.75152329390789
10,0.0,51.43908623422953,51.43908623422953
2,0.0,51.38113004795992,51.38113004795992
25,0.0,49.77818858867643,49.77818858867643
7,0.0,49.12426793474715,49.12426793474715
9,0.0,48.99411219417043,48.99411219417043
0,0.0,48.58200321344776,48.58200321344776
32,0.0,46.59148444560631,46.59148444560631
5,0.0,44.942258612304606,44.942258612304606
1,0.0,44.589162121761454,44.589162121761454
4,0.0,44.50339717955077,44.50339717955077
8,0.0,43.56521218002006,43.56521218002006
29,0.0,42.63135200196874,42.63135200196874
30,0.0,42.5028101818703,42.5028101818703
28,0.0,39.388232722203256,39.388232722203256
27,2.705087399409844,26.725147645305974,24.02006024589613
24,0.0,21.35821791531381,21.35821791531381
15,0.0,0.0,0.0
14,0.0,0.0,0.0
16,0.0,0.0,0.0
20,0.0,0.0,0.0
11,5.128963543269254,0.0,-5.128963543269254
17,5.479899089886512,0.0,-5.479899089886512
19,7.021316269395229,0.0,-7.021316269395229
21,8.842626655176263,0.0,-8.842626655176263
13,22.33661846002041,8.343292213479597,-13.993326246540814
18,21.022081938100747,0.0,-21.022081938100747
12,36.83925792661199,0.0,-36.83925792661199
